anio,mes,precio_promedio_venta_USD,promedio_valor_USD_anual,alimentos_bebidas_sin_alcohol,bebidas_alcoholicas_tabaco,prendas_de_vestir_calzado,alojamiento_agua_electricidad_gas_otroscomb,muebles_articulos_hogar,salud,transporte,comunicaciones,recreacion _cultura,educacion,restaurantes_hoteles,cuidado_personal,indice_ipc_general,importaciones_valor_usd,importaciones_volumen_kg,exportaciones_valor_usd,exportaciones_volumen_kg
1991,Enero,,,23.82,23.15,26.14,24.62,39.65,18.53,20.89,68.38,17.08,18.39,16.69,27.35,24.09,,,,
1991,Febrero,,,24.99,24.79,27.11,24.93,40.17,20.12,22.16,34.33,17.84,22.05,18.37,27.86,24.88,,,,
1991,Marzo,,,25.45,27.02,27.97,25.11,40.58,20.22,20.31,35.18,17.84,22.05,18.37,28.10,25.21,,,,
1991,Abril,,,25.89,26.97,28.81,26.25,42.23,20.52,20.39,70.55,18.17,22.05,18.37,28.49,26.04,,,,
1991,Mayo,,,26.60,27.33,29.34,26.39,42.46,20.97,20.54,36.76,19.23,22.05,19.45,28.47,26.34,,,,
1991,Junio,,,27.53,27.40,29.17,26.65,42.55,20.98,20.54,36.76,19.91,22.05,19.45,28.63,26.81,,,,
1991,Julio,,,28.50,27.39,29.12,26.66,41.76,21.40,20.54,36.83,19.91,22.05,19.45,28.86,27.23,,,,
1991,Agosto,,,29.05,28.26,29.36,26.68,41.48,21.94,20.60,37.18,20.64,22.05,21.90,29.02,27.57,,,,
1991,Septiembre,,,28.68,28.31,29.52,26.76,41.37,22.13,20.60,37.29,20.64,22.05,21.90,29.23,27.46,,,,
1991,Octubre,,,28.65,29.93,29.75,27.47,43.06,22.18,20.60,37.60,20.64,22.05,21.90,29.74,27.73,,,,
1991,Noviembre,,,28.70,30.06,30.14,27.63,43.80,22.55,20.87,38.02,22.38,22.05,22.86,30.02,27.96,,,,
1991,Diciembre,,,28.67,30.06,30.42,27.78,44.43,22.41,20.87,16.50,22.39,22.05,22.86,29.91,28.03,,,,
1992,Enero,,,28.68,30.08,30.77,27.79,43.32,22.56,20.66,15.78,22.53,22.05,22.86,30.20,28.07,,,,
1992,Febrero,,,29.11,30.27,31.08,27.87,44.44,22.76,21.07,15.92,22.63,23.66,23.70,30.54,28.38,,,,
1992,Marzo,,,28.48,30.30,31.55,27.88,44.81,22.82,21.07,15.96,22.63,23.66,23.72,30.70,28.45,,,,
1992,Abril,,,28.61,30.22,31.84,28.41,44.91,22.84,21.07,15.97,24.33,23.66,23.72,30.51,28.74,,,,
1992,Mayo,,,29.40,32.41,31.72,28.48,44.67,23.14,21.14,16.19,24.05,23.66,24.69,30.46,28.85,,,,
1992,Junio,,,28.71,32.49,31.91,28.52,44.80,23.23,21.98,16.25,23.91,23.66,24.69,30.47,28.87,,,,
1992,Julio,,,28.90,32.44,32.04,28.52,45.16,23.33,21.98,16.32,23.91,23.66,24.69,30.43,28.98,,,,
1992,Agosto,,,29.04,32.40,32.16,28.62,45.27,23.35,22.09,16.34,23.92,23.66,24.69,30.57,29.09,,,,
1992,Septiembre,,,28.87,32.39,32.26,28.79,45.20,23.79,22.09,16.64,23.92,23.66,24.69,30.73,29.10,,,,
1992,Octubre,,,28.94,32.44,32.52,29.20,44.84,23.89,22.09,16.71,24.00,23.66,24.69,30.52,29.25,,,,
1992,Noviembre,,,29.39,33.39,32.65,29.45,45.26,24.15,22.18,16.89,24.29,23.66,25.77,30.75,29.58,,,,
1992,Diciembre,,,29.96,33.39,33.02,29.43,45.36,24.16,21.75,16.90,24.29,23.66,25.77,30.93,29.86,,,,
